City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Arraial Do Cabo,BR,69.31,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
2,Rikitea,PF,69.35,broken clouds,-23.1203,-134.9692,People ThankYou
4,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
10,Faanui,PF,78.19,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
11,Tuy Hoa,VN,78.15,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
15,Atuona,PF,77.45,clear sky,-9.8,-139.0333,Villa Enata
18,Sambava,MG,68.07,clear sky,-14.2667,50.1667,Melrose
20,Mwingi,KE,66.83,overcast clouds,-0.9344,38.0601,Thorn Tree by The Address
30,Vaini,TO,76.28,moderate rain,-21.2,-175.2,Keleti Beach Resort
32,Carnarvon,AU,68.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
33,Jaciara,BR,76.46,overcast clouds,-15.9653,-54.9683,Taba Hotel
47,Nosy Varika,MG,65.14,scattered clouds,-20.5833,48.5333,Hotel Volazara
64,Muros,ES,65.08,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
65,Kutum,SD,76.15,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
70,Lagoa,PT,69.13,light rain,39.05,-27.9833,Casa Das Faias
71,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
72,Puerto Ayora,EC,67.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
74,Nanuque,BR,74.23,broken clouds,-17.8392,-40.3539,Hotel e Churrascaria Boi na Brasa
95,Vila Franca Do Campo,PT,70.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
101,Abha,SA,67.82,scattered clouds,18.2164,42.5053,Abha Hotel
103,Ribeira Grande,PT,70.65,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
105,Bengkulu,ID,78.53,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
106,Prado,BR,74.32,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
108,Zwedru,LR,70.93,overcast clouds,6.0667,-8.1281,Elijah Worjloh
112,San Roque,ES,67.03,broken clouds,36.2107,-5.3842,Hotel Guadacorte Park
116,Guane,CU,75.11,broken clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
124,Marsh Harbour,BS,79.92,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
132,Karachi,PK,78.62,mist,24.9056,67.0822,Sadaat
134,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
137,Puerto Madryn,AR,65.97,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
138,Payo,ID,79.23,overcast clouds,-3.7508,103.6372,Mess keban agung
140,Shenjiamen,CN,67.28,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
142,Rawson,AR,65.39,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
144,Banda Aceh,ID,79.66,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
149,Celestun,MX,77.59,clear sky,20.8667,-90.4,Posada Lilia
158,Lazaro Cardenas,MX,79.39,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
159,Horadiz,AZ,68.77,few clouds,39.4488,47.3353,Otel
165,Santa Maria,BR,67.3,light rain,-29.6842,-53.8069,Hotel Morotin
169,Caravelas,BR,73.87,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
172,Oyem,GA,66.33,overcast clouds,1.5995,11.5793,Commissariat de police
173,Mumford,GH,75.16,broken clouds,5.2618,-0.759,Peace Guest House
178,Abong Mbang,CM,65.77,overcast clouds,3.9833,13.1833,Auberge Angle Sur
179,Miandrivazo,MG,73.81,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
182,Hobyo,SO,76.73,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
189,Mahebourg,MU,71.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
191,Lebanon,US,67.44,clear sky,36.2081,-86.2911,Hampton Inn & Suites Lebanon
198,Portland,US,72.95,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
199,Ponta Do Sol,PT,69.71,few clouds,32.6667,-17.1,Hotel do Campo
207,Lhokseumawe,ID,77.16,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
213,Vao,NC,70.99,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
221,Yenagoa,NG,74.5,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
222,Shingu,JP,66.31,overcast clouds,33.7333,135.9833,Shingu UI Hotel
226,Buta,CD,68.99,light rain,2.7858,24.73,Hôtel BOPANDO
232,Gunjur,GM,78.87,few clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
235,Pacific Grove,US,65.8,broken clouds,36.6177,-121.9166,Lovers Point Inn
239,Lompoc,US,78.94,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
245,Bambous Virieux,MU,71.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
250,Sakaraha,MG,67.59,clear sky,-22.9,44.5333,Le Relais
253,Russell,US,65.43,clear sky,32.3502,-85.1999,Macs
254,Jalingo,NG,73.8,moderate rain,8.8833,11.3667,Debright Motel
255,Quatre Cocos,MU,71.71,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
256,Erzin,TR,69.1,few clouds,36.9559,36.2,Artemis Otel
258,Guaymitas,HN,78.53,overcast clouds,15.4979,-87.7147,Hotel EcoTuristico Las Brissas
266,San Quintin,MX,69.24,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
270,Sabha,LY,69.13,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
271,Coahuayana,MX,77.41,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
273,Mogadishu,SO,76.87,few clouds,2.0371,45.3438,Hotel Juba
276,Socorro,US,74.3,broken clouds,31.6546,-106.3033,guarderia imss papalote
282,Phetchabun,TH,75.47,broken clouds,16.25,101.0833,วินธนา รีสอร์ท
284,Tabou,CI,75.09,light rain,4.423,-7.3528,hotêl doufoulougou
287,Pasni,PK,77.65,clear sky,25.2631,63.471,Kashmiri Hotal
289,Wadi Maliz,TN,65.86,clear sky,36.4681,8.5495,Heremony
291,Cap Malheureux,MU,68.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
294,Lincoln,US,66.27,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
295,Ballina,AU,68.04,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
297,Angoche,MZ,71.06,clear sky,-16.2325,39.9086,Guest House HESADA
298,Bambanglipuro,ID,78.49,overcast clouds,-7.95,110.2833,Puri Brata
304,San Ramon De La Nueva Oran,AR,79.43,few clouds,-23.1322,-64.326,Hotel Residencial Centro
311,Port Lincoln,AU,67.59,clear sky,-34.7333,135.8667,Port Lincoln Hotel
313,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
316,Sao Joao Da Barra,BR,70.95,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
317,Faya,SA,68.11,clear sky,18.3851,42.4509,شيلة نسايم
321,Gombong,ID,79.81,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
323,Whyalla,AU,74.97,clear sky,-33.0333,137.5833,Foreshore Motor Inn
324,West Wendover,US,72.61,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
