City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,69.31,84,100,12.86,overcast clouds
1,Ostrovnoy,RU,68.0531,39.5131,46.18,86,80,16.17,broken clouds
2,Rikitea,PF,-23.1203,-134.9692,69.35,63,69,20.85,broken clouds
3,Chuy,UY,-33.6971,-53.4616,58.86,84,100,12.19,overcast clouds
4,Souillac,MU,-20.5167,57.5167,71.98,73,75,10.36,broken clouds
5,Nikolskoye,RU,59.7035,30.7861,49.91,98,100,7.56,overcast clouds
6,Vardo,NO,70.3705,31.1107,42.78,81,100,17.27,overcast clouds
7,Clyde River,CA,70.4692,-68.5914,25.03,80,100,19.57,light snow
8,Isangel,VU,-19.55,169.2667,80.71,78,75,11.5,broken clouds
9,Ushuaia,AR,-54.8,-68.3,40.66,87,100,28.77,light intensity drizzle
10,Faanui,PF,-16.4833,-151.75,78.19,75,0,24.49,clear sky
11,Tuy Hoa,VN,13.0833,109.3,78.15,90,100,3.8,overcast clouds
12,Saint George,US,37.1041,-113.5841,86.59,22,0,1.99,clear sky
13,Albany,US,42.6001,-73.9662,53.73,91,78,4.43,broken clouds
14,Port Alfred,ZA,-33.5906,26.891,58.17,93,90,1.99,overcast clouds
15,Atuona,PF,-9.8,-139.0333,77.45,72,0,17.22,clear sky
16,Punta Arenas,CL,-53.15,-70.9167,44.71,76,0,12.66,clear sky
17,Kapaa,US,22.0752,-159.319,84.18,72,75,11.5,light rain
18,Sambava,MG,-14.2667,50.1667,68.07,87,2,10.2,clear sky
19,Hithadhoo,MV,-0.6,73.0833,82.27,74,43,20.78,scattered clouds
20,Mwingi,KE,-0.9344,38.0601,66.83,74,91,7.4,overcast clouds
21,Aswan,EG,24.0934,32.907,86.2,26,49,12.86,scattered clouds
22,Ancud,CL,-41.8697,-73.8203,49.57,94,100,17.36,moderate rain
23,Port Hardy,CA,50.6996,-127.4199,64.58,72,20,12.66,few clouds
24,Qaanaaq,GL,77.484,-69.3632,5.41,70,16,7.31,few clouds
25,Rio Gallegos,AR,-51.6226,-69.2181,50.05,43,0,10.36,clear sky
26,Hilo,US,19.7297,-155.09,82.27,84,75,9.22,broken clouds
27,Belaya Gora,RU,68.5333,146.4167,21.87,84,100,14.09,light snow
28,Orel-Izumrud,RU,43.4583,39.9244,59.02,93,75,7.0,broken clouds
29,Mataura,NZ,-46.1927,168.8643,45.48,92,95,10.67,light rain
30,Vaini,TO,-21.2,-175.2,76.28,82,100,7.92,moderate rain
31,Umm Lajj,SA,25.0213,37.2685,85.03,50,0,9.57,clear sky
32,Carnarvon,AU,-24.8667,113.6333,68.07,34,0,25.32,clear sky
33,Jaciara,BR,-15.9653,-54.9683,76.46,73,89,3.98,overcast clouds
34,Bluff,NZ,-46.6,168.3333,45.81,64,98,21.83,overcast clouds
35,Hasaki,JP,35.7333,140.8333,59.29,78,100,23.29,light rain
36,Saint-Philippe,RE,-21.3585,55.7679,63.99,77,38,11.21,scattered clouds
37,Constitucion,CL,-35.3333,-72.4167,49.91,89,98,6.53,overcast clouds
38,Lebu,CL,-37.6167,-73.65,51.71,87,100,9.06,moderate rain
39,Castro,BR,-24.7911,-50.0119,60.64,94,100,6.69,overcast clouds
40,Hofn,IS,64.2539,-15.2082,42.51,57,8,10.78,clear sky
41,Wanaka,NZ,-44.7,169.15,44.11,46,98,8.01,overcast clouds
42,Leningradskiy,RU,69.3833,178.4167,31.39,86,100,8.61,overcast clouds
43,Karatau,KZ,43.1667,70.4667,41.25,42,0,2.33,clear sky
44,Sovetskaya,RU,44.7769,41.1722,53.92,92,100,2.55,overcast clouds
45,Beloha,MG,-25.1667,45.05,66.88,84,0,5.88,clear sky
46,Taltal,CL,-25.4,-70.4833,60.42,60,0,7.85,clear sky
47,Nosy Varika,MG,-20.5833,48.5333,65.14,93,33,6.06,scattered clouds
48,Sorong,ID,-0.8833,131.25,83.52,71,38,1.39,scattered clouds
49,Yellowknife,CA,62.456,-114.3525,37.92,75,40,15.01,scattered clouds
50,Ilulissat,GL,69.2167,-51.1,26.62,54,20,5.75,few clouds
51,Victoria,HK,22.2855,114.1577,87.24,73,51,11.99,broken clouds
52,Pangnirtung,CA,66.1451,-65.7125,30.52,91,100,3.31,overcast clouds
53,Wajima,JP,37.4,136.9,59.68,77,75,4.61,light rain
54,Butaritari,KI,3.0707,172.7902,82.08,72,10,12.71,clear sky
55,Barrow,US,71.2906,-156.7887,35.62,80,100,12.66,overcast clouds
56,Saldanha,ZA,-33.0117,17.9442,48.25,77,100,4.34,overcast clouds
57,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,53.94,94,21,3.6,few clouds
58,New Norfolk,AU,-42.7826,147.0587,56.91,57,99,12.12,overcast clouds
59,Provideniya,RU,64.3833,-173.3,41.36,100,100,38.03,light intensity shower rain
60,Pingliang,CN,35.5392,106.6861,51.66,70,100,4.72,light rain
61,Dikson,RU,73.5069,80.5464,31.6,86,100,13.04,overcast clouds
62,Shache,CN,38.4167,77.2406,61.07,34,100,7.74,overcast clouds
63,Fairbanks,US,64.8378,-147.7164,48.6,69,0,3.44,clear sky
64,Muros,ES,42.7762,-9.0603,65.08,82,62,14.18,broken clouds
65,Kutum,SD,14.2,24.6667,76.15,33,17,4.54,few clouds
66,Biak,ID,-0.9131,122.8766,84.33,64,99,1.74,overcast clouds
67,Tual,ID,-5.6667,132.75,83.03,74,100,8.34,overcast clouds
68,Rovnoye,RU,50.7765,46.0509,52.7,72,79,9.15,broken clouds
69,Serenje,ZM,-13.2325,30.2352,61.56,37,3,5.01,clear sky
70,Lagoa,PT,39.05,-27.9833,69.13,84,100,15.39,light rain
71,Vila Velha,BR,-20.3297,-40.2925,75.15,88,40,5.75,scattered clouds
72,Puerto Ayora,EC,-0.7393,-90.3518,67.55,93,80,5.99,broken clouds
73,Hobart,AU,-42.8794,147.3294,58.26,68,75,17.27,broken clouds
74,Nanuque,BR,-17.8392,-40.3539,74.23,78,82,8.34,broken clouds
75,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,100,14.97,overcast clouds
76,Puerto Penasco,MX,31.3167,-113.5333,83.91,75,2,3.0,clear sky
77,Sur,OM,22.5667,59.5289,81.55,56,0,3.74,clear sky
78,Avera,US,33.194,-82.5271,60.31,38,27,2.04,scattered clouds
79,Vrangel,RU,42.7297,133.0839,49.03,30,34,7.25,scattered clouds
80,Honningsvag,NO,70.9821,25.9704,42.55,81,75,16.11,broken clouds
